categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
noscript,89,-8286,www.feishu.cn,NULL
noscript,90,-8277,www.newscientist.com,NULL
noscript,91,-8083,www.nytimes.com,News
noscript,92,-7977,www.wowhead.com,Arts & Entertainment
noscript,93,-7930,www.pcmag.com,Shopping
noscript,94,-7801,www.tiktokv.com,NULL
noscript,95,-7763,www.3dmgame.com,Games
noscript,96,-7756,www.notthebee.com,Arts & Entertainment
noscript,97,-7711,www.infobae.com,NULL
noscript,98,-7616,www.hagro.cn,NULL
noscript,99,-7577,www.bizjournals.com,NULL
noscript,100,-7411,www.acfun.cn,NULL
privacy-badger,1,-58716,www.tordarkmarketurl.shop,NULL
privacy-badger,2,-54871,www.lastnighton.com,NULL
privacy-badger,3,-47165,www.cqkjwx.com,NULL
privacy-badger,4,-38680,www.dailymail.co.uk,News
privacy-badger,5,-38023,www.360doc.com,NULL
privacy-badger,6,-37326,www.thesun.co.uk,News
privacy-badger,7,-36048,www.schooldigger.com,NULL
privacy-badger,8,-35612,www.techradar.com,News
privacy-badger,9,-34576,www.livescience.com,Science
privacy-badger,10,-34378,www.hollywoodreporter.com,News
privacy-badger,11,-30191,www.nypost.com,News
privacy-badger,12,-29825,www.huffpost.com,News
privacy-badger,13,-26678,www.reuters.com,News
privacy-badger,14,-25261,www.huffingtonpost.com,News
privacy-badger,15,-24734,www.foxnews.com,News
privacy-badger,16,-22163,www.rollingstone.com,Arts & Entertainment
privacy-badger,17,-21538,www.variety.com,Arts & Entertainment
privacy-badger,18,-20664,www.codexnomina.com,NULL
privacy-badger,19,-20236,www.dictionary.com,Reference
privacy-badger,20,-19689,www.careerindia.com,NULL
privacy-badger,21,-19162,www.arstechnica.com,NULL
privacy-badger,22,-18991,www.speedtest.net,Computer
privacy-badger,23,-18779,www.box.com,Sports
privacy-badger,24,-18719,www.mlb.com,Sports
privacy-badger,25,-18103,www.smithsonianmag.com,Reference
privacy-badger,26,-17025,www.slate.com,News
privacy-badger,27,-16833,www.time.com,News
privacy-badger,28,-15721,www.gitee.com,NULL
privacy-badger,29,-15534,www.netscape.com,NULL
privacy-badger,30,-15261,www.pornhub.com,Adult
privacy-badger,31,-15232,www.marinelink.com,NULL
privacy-badger,32,-15126,www.nicovideo.jp,Arts-and-Entertainment
privacy-badger,33,-14417,www.sfgate.com,News
privacy-badger,34,-13070,www.eventbrite.com,Arts & Entertainment
privacy-badger,35,-11660,www.marketwatch.com,Business & Industrial
privacy-badger,36,-11596,www.wired.com,NULL
privacy-badger,37,-11455,www.thehill.com,News
privacy-badger,38,-11228,www.rusjev.net,NULL
privacy-badger,39,-11132,www.atlassian.net,Computers & Electronics
privacy-badger,40,-10794,www.lifehacker.com,NULL
privacy-badger,41,-10610,www.chron.com,News
privacy-badger,42,-10592,www.zhcommerce.cn,NULL
privacy-badger,43,-10399,www.forbes.com,News
privacy-badger,44,-10053,www.usatoday.com,News
privacy-badger,45,-9933,www.twitch.tv,Arts & Entertainment
privacy-badger,46,-9866,www.digitaltrends.com,Science
privacy-badger,47,-9195,www.news.com.au,Sports
privacy-badger,48,-8934,www.thetimes.co.uk,News
privacy-badger,49,-8850,www.shein.com,Lifestyle
privacy-badger,50,-8773,www.newyorker.com,News
privacy-badger,51,-8711,www.ndtv.com,News
privacy-badger,52,-8662,www.moneycontrol.com,Finance
privacy-badger,53,-8659,www.genius.com,Arts & Entertainment
privacy-badger,54,-8043,www.pcmag.com,Shopping
privacy-badger,55,-7967,www.gamespot.com,Games
privacy-badger,56,-7913,www.cnn.com,News
privacy-badger,57,-7870,www.ign.com,Games
privacy-badger,58,-7732,www.hatena.ne.jp,NULL
privacy-badger,59,-7672,www.britannica.com,Reference
privacy-badger,60,-7604,www.newscientist.com,NULL
privacy-badger,61,-7338,www.thedailybeast.com,Arts & Entertainment
privacy-badger,62,-7230,www.notthebee.com,Arts & Entertainment
privacy-badger,63,-7132,www.wowhead.com,Arts & Entertainment
privacy-badger,64,-7063,www.patient.info,NULL
privacy-badger,65,-6834,www.timeanddate.com,Science-and-Education
privacy-badger,66,-6775,www.economist.com,News
privacy-badger,67,-6752,www.verizon.com,Internet & Telecom
privacy-badger,68,-6251,www.theverge.com,Computers & Electronics
privacy-badger,69,-6140,www.bizjournals.com,NULL
privacy-badger,70,-5955,www.nba.com,Sports
privacy-badger,71,-5914,www.bestbuy.com,Computers-Electronics-and-Technology
privacy-badger,72,-5781,www.andropalace.org,NULL
privacy-badger,73,-5701,www.nreionline.com,NULL
privacy-badger,74,-5644,www.itu.int,Business & Industrial
privacy-badger,75,-5492,www.thisvid.com,NULL
privacy-badger,76,-5442,bestfonts.pro,NULL
